Key,Type,Desc,English,French
About,Text,,About,A propos
Audio,Text,,Audio,Son
Back,Text,,Back,Retour
Badge,Text,,Badge,Badge
Credits,Text,,Credits,Crédits
DialogueAvantMiniJeuActiviteEntrepriseDrag,Text,DialogueAvantMiniJeuActiviteEntrepriseDrag,It takes little to be happy; you just need the essentials and some advertising posters,"Il en faut peut pour être heureux, il faut se contenter du nécéssaire et des affiches publicitaires"
DialogueAvantMiniJeuActiviteLotissementDrag,Text,DialogueAvantMiniJeuActiviteLotissementDrag,"Friendship, respect, street sports","Amitié, respect, sport de rue"
DialogueAvantMiniJeuActiviteLotissementTaper,Text,DialogueAvantMiniJeuActiviteLotissementTaper,Why not go for a little run?,Pourquoi pas un peu de footing
DialogueAvantMiniJeuActiviteMaisonMagazine,Text,DialogueAvantMiniJeuActiviteMaisonMagazine,There’s really nothing good here,Il n'y a vraiment rien de bien ici
DialogueAvantMiniJeuActiviteMaisonTele,Text,DialogueAvantMiniJeuActiviteMaisonTele,Which channel should I watch?,Quelle chaine vais je bien pouvoir regarder
DialogueAvantMiniJeuActivitePlageNager,Text,DialogueAvantMiniJeuActivitePlageNager,I'm bored on this white sand,Je m'ennuie sur ce sable blanc
DialogueAvantMiniJeuActiviteVilleTaper,Text,DialogueAvantMiniJeuActiviteVilleTaper,"Life isn’t about being stronger or faster, it’s about holding on","La vie, c'est pas être plus fort ou plus rapide, c'est tenir le coup"
DialogueAvantMiniJeuAlccolPlageCocktail,Text,DialogueAvantMiniJeuAlccolPlageCocktail,My throat is all dry,J'ai la gorge toute sèche
DialogueAvantMiniJeuAlcoolEntrepriseTaper,Text,DialogueAvantMiniJeuAlcoolEntrepriseTaper,We can always make an effort,On peut toujours faire des efforts
DialogueAvantMiniJeuAlcoolLotissementTaper,Text,DialogueAvantMiniJeuAlcoolLotissementTaper,What should I drink today?,Que vais je bien boire aujourd'hui
DialogueAvantMiniJeuAlcoolMaisonBoisson,Text,DialogueAvantMiniJeuAlcoolMaisonBoisson,Good juice is much better than soda,"Du bon jus, c'est bien meilleur que du soda"
DialogueAvantMiniJeuAlcoolMaisonFrigo,Text,DialogueAvantMiniJeuAlcoolMaisonFrigo,"I’m thirsty, but I’ll go for water","J'ai soif, mais ce sera de l'eau pour moi"
DialogueAvantMiniJeuAlimentatioEntrepriseGlisser,Text,DialogueAvantMiniJeuAlimentatioEntrepriseGlisser,"It's a matter of willpower, not logic",C'est une question de volonté et non de logique
DialogueAvantMiniJeuAlimentationCliniqueDrag,Text,DialogueAvantMiniJeuAlimentationCliniqueDrag,What should I eat?,Que vais je bien manger ?
DialogueAvantMiniJeuAlimentationEntrepriseTaper,Text,DialogueAvantMiniJeuAlimentationEntrepriseTaper,"I have a choice, but I'm still undecided",J'ai le choix mais je suis quand même indécise
DialogueAvantMiniJeuAlimentationLotissementSecouer,Text,DialogueAvantMiniJeuAlimentationLotissementSecouer,"A bit of salad, and the meal will be perfect",Un peu de salade et le repas sera parfait
DialogueAvantMiniJeuAlimentationMaisonRadio,Text,DialogueAvantMiniJeuAlimentationMaisonRadio,"Burgers here, cakes there—nothing but junk food","Des burgers par çi, des gateaux par là, que de la mauvaise nouriture"
DialogueAvantMiniJeuAlimentationPlageChips,Text,DialogueAvantMiniJeuAlimentationPlageChips,Hmmmmm chips,Hmmmmm des chips
DialogueAvantMiniJeuAlimentationVilleGlisser,Text,DialogueAvantMiniJeuAlimentationVilleGlisser,"Complicated, but not impossible for someone like me",Compliqué mais pas infaisable pour quelqu'un comme moi
DialogueAvantMiniJeuAllaitementCliniqueTaper,Text,DialogueAvantMiniJeuAllaitementCliniqueTaper,"Doctor, what’s the best way to feed my child?",Docteur qu'elle est le mieux pour nourrir mon enfant
DialogueAvantMiniJeuChimiqueEntrepriseTaper,Text,DialogueAvantMiniJeuChimiqueEntrepriseTaper,Nothing good seems to be on the horizon,Rien de bien ne s'anonce à l'horizon
DialogueAvantMiniJeuDepistageEntrepriseTaper,Text,DialogueAvantMiniJeuDepistageEntrepriseTaper,"The choice is complicated, I’d even say a real dilemma",Le choix est compliqué et je dirais même cornélien
DialogueAvantMiniJeuExpositionLotissementGlisser,Text,DialogueAvantMiniJeuExpositionLotissementGlisser,"Phew, the sun is really strong today. What can I use to protect myself?","Pfiou, le soleil tape fort aujourd'hui. Avec quoi puis-je me protéger ?"
DialogueAvantMiniJeuExpositionPlageCreme,Text,DialogueAvantMiniJeuExpositionPlageCreme,I didn’t know I could take this color,Je ne savais pas que je pouvais prendre cette couleur
DialogueAvantMiniJeuExpositionPlageParasol,Text,DialogueAvantMiniJeuExpositionPlageParasol,Zzzzzz ouch Zzzzzzz ouch Zzzzzzzz,Zzzzzz ouille Zzzzzzz ouille Zzzzzzzz
DialogueAvantMiniJeuExpositionVilleDrag,Text,DialogueAvantMiniJeuExpositionVilleDrag,"The sun is blazing today, what to do, what to do...","Le soleil tape aujourd'hui, que faire, que faire"
DialogueAvantMiniJeuHormoneMaisonJeter,Text,DialogueAvantMiniJeuHormoneMaisonJeter,I don’t know what to do with all these hormonal medications,Je ne sais pas quoi faire de tout ces médicaments hormonaux
DialogueAvantMiniJeuHydratationCliniqueDrag,Text,DialogueAvantMiniJeuHydratationCliniqueDrag,I'm thirstier than I've ever been,J'ai soif comme jamais je n'eu soif
DialogueAvantMiniJeuHydratationMaisonCanalisation,Text,DialogueAvantMiniJeuHydratationMaisonCanalisation,But why isn’t the sink working?,Mais pourquoi l'évier ne t'il fonctionne pas
DialogueAvantMiniJeuHydratationMaisonLabyrinthe,Text,DialogueAvantMiniJeuHydratationMaisonLabyrinthe,Don't forget to stay hydrated,N'oublie pas de t'hydrater
DialogueAvantMiniJeuHydratationPlageTourner,Text,DialogueAvantMiniJeuHydratationPlageTourner,It's hot today,Il fait chaud aujourd'hui
DialogueAvantMiniJeuHydratationVilleTaper,Text,DialogueAvantMiniJeuHydratationVilleTaper,"The choice is vast, but my answer will be unique",Le choix est vaste mais ma réponse sera unique
DialogueAvantMiniJeuHydrationPlagePomper,Text,DialogueAvantMiniJeuHydrationPlagePomper,I'M THIRSTY,J'AI SOIF
DialogueAvantMiniJeuLimiterCliniqueDrag,Text,DialogueAvantMiniJeuLimiterCliniqueDrag,"So, what would be best for my treatment?",Du coups pour mon traitement qu'est ce qui serait le mieux
DialogueAvantMiniJeuProgrammesLotissementDrag,Text,DialogueAvantMiniJeuProgrammesLotissementDrag,Information on screening? That will always be useful!,Des information sur le dépistage ? Cela sera toujours utile !
DialogueAvantMiniJeuProgrammesVilleTaper,Text,DialogueAvantMiniJeuProgrammesVilleTaper,I won’t be distracted by anything—except maybe a butterfly,"Je ne serai distrait par rien, à part par un papillon"
